Name,Url,Authority,Started On,Finished On,License Number
ML Building Blocks: Services and Terminology,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=bh1I8PDh3keqdTgiiq-Shg2,Amazon Web Services (AWS),Sep 2020,,bh1I8PDh3keqdTgiiq-Shg2
Introduction to AWS Machine Learning Services,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=TKmXeSPm00OSnpzZurPuiw2,Amazon Web Services (AWS),Sep 2020,,TKmXeSPm00OSnpzZurPuiw2
ML Building Blocks: Services and Terminology (Spanish),https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=KAf_nvvSYUqL8QaZf6nSHA2,Amazon Web Services (AWS),Sep 2020,,KAf_nvvSYUqL8QaZf6nSHA2
Machine Learning Terminology and Process (Spanish),https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=V9MlnH1t0EqmUw7SVbT5kg2,Amazon Web Services (AWS),Sep 2020,,V9MlnH1t0EqmUw7SVbT5kg2
Introduction to AWS Machine Learning Services (Spanish),https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=wahmw97x0UipBlX88EiMQQ2,Amazon Web Services (AWS),Sep 2020,,wahmw97x0UipBlX88EiMQQ2
Amazon DynamoDB – Architecture and Features,https://www.aws.training/Transcript/CompletionCertificateHtml?transcriptid=ctWi-cXRcEuGbYhhLJqszA2,Amazon Web Services (AWS),Sep 2020,,ctWi-cXRcEuGbYhhLJqszA2
Data-Driven Testing (via Database) with Selenium & TestNG,https://www.coursera.org/account/accomplishments/certificate/9G7VZY3TW94P,Coursera,Oct 2020,,9G7VZY3TW94P
Creating a Virtual Bookstore using Java Basics,https://www.coursera.org/account/accomplishments/certificate/VZ66AJFYBBZV,Coursera,Oct 2020,,VZ66AJFYBBZV
Architecting with Google Kubernetes Engine:Foundations en Español,http://coursera.org/verify/DA2APL9V3A4L,Coursera,Nov 2020,,DA2APL9V3A4L
Scrum Fundamentals Certified,,SCRUMstudy - Accreditation Body for Scrum and Agile,Nov 2020,,818672
API Design and Fundamentals of Google Cloud's Apigee API Platform,https://coursera.org/verify/86J8C8JBASJU,Coursera,Dec 2020,,86J8C8JBASJU
Microservicios con un café,https://www.linkedin.com/learning/certificates/098d11ec58ec75cffb3dddbbc100a5d5ddc8023e609ef60ebc891a38819a14aa?trk=backfilled_certificate,LinkedIn,Apr 2021,,
Scrum avanzado,https://www.linkedin.com/learning/certificates/6ec176656caecbf6c4c5d67b14643a559435cf6559fd8077e4d4200cef3060da?trk=backfilled_certificate,LinkedIn,Apr 2021,,
Plantilla: Controla tus finanzas con esta hoja de Excel,https://www.linkedin.com/learning/certificates/6ab324f6a4ced767a2647eabbebb9b794ec544518d20aa831ea193341942b453?trk=backfilled_certificate,LinkedIn,Nov 2020,,
Building Web APIs with ASP.NET Core,https://www.linkedin.com/learning/certificates/c612c1524792c28828895d21c2a067c038c1b4b903825b5a29b4b6a49c470f32?trk=backfilled_certificate,LinkedIn,Apr 2021,,AennkJPnTDs23ft-ZiiWfp3GehTV
SCRUM con un café,https://www.linkedin.com/learning/certificates/a6f9b0debd7f218a38085aab116302ded05a1518febe763ebfaa0f44473440f2?trk=backfilled_certificate,LinkedIn,Apr 2021,,
Test Automation Foundations,https://www.linkedin.com/learning/certificates/6a503e7084b89b71afd7fcaa8d90641c0151724d78cda6b24a6b92cec54e40e9?trk=backfilled_certificate,LinkedIn,Apr 2021,,
Learning Selenium,https://www.linkedin.com/learning/certificates/517479f891d69249891112889b2449bf5493999f20362e9a70b5d239900e61ec?trk=backfilled_certificate,LinkedIn,Apr 2021,,
DevOps Foundations: Lean and Agile,https://www.linkedin.com/learning/certificates/9195373ad3d7ce96113e78e6c45bc30706033be7c5692460edac2739db313798?trk=backfilled_certificate,LinkedIn,Apr 2021,,
Software Testing Foundations: Continuous Testing and DevOps,https://www.linkedin.com/learning/certificates/75752553e06c51fb30c843c167e124f1d0bd594e0aac4b4701f5417ce22ad7c2?trk=backfilled_certificate,LinkedIn,Apr 2021,,
Project: Gestión de proyectos ágiles,https://www.linkedin.com/learning/certificates/9e308bc50ff6b49101366a790f77dc4ce013648dad7059a33da3918937af09fd?trk=backfilled_certificate,LinkedIn,Apr 2021,,
Selenium Essential Training,https://www.linkedin.com/learning/certificates/d3f9a88350bc5fab811e9bc89cd9484f820a0067e1508adda08adf8c34e78659?trk=backfilled_certificate,LinkedIn,Apr 2021,,
Scripting for Testers,https://www.linkedin.com/learning/certificates/be365cce314ac11c9e9d69c4675c6f0cb90b35127e34fb1b723e176c49d6f468?trk=backfilled_certificate,LinkedIn,Apr 2021,,
Arquitectura de software: Creación de sistemas sustentables esencial,https://www.linkedin.com/learning/certificates/0a7ea231339a5de6bf7d90d8452e23f02c2da1a8155a90fb10825c36e84c6c27?trk=backfilled_certificate,LinkedIn,Apr 2021,,
Scrum Master Profesional Certificate SMPC,https://certificates.easy-lms.com/exam/session/c3b4d14e-f05a-4f90-bba3-226e1e077bcc,CertiProf,May 2021,,62537125
Robot Framework Test Automation: Level 1 (Selenium),https://www.linkedin.com/learning/certificates/2cfd442dc0c73dae5fd87e3a89c533d407d0b46c9d2972a205fb835fe957ba82?trk=backfilled_certificate,LinkedIn,May 2021,,
Become a Test Automation Engineer,https://www.linkedin.com/learning/certificates/a9637346836249782c6a6c766d54bef47a3d92c3a20cbf4be9e2ff28f9cc6baf?trk=backfilled_certificate,LinkedIn,May 2021,,
Arquitectura de software: Diseño de sistemas de software esencial,https://www.linkedin.com/learning/certificates/59f6ac6c1f646ae1c7ffc6743b02a88fbad21636913accdfc4185453d661beea?trk=backfilled_certificate,LinkedIn,May 2021,,
Succeeding in DevOps,https://www.linkedin.com/learning/certificates/47b69bc9cda3b1e1a545df8bee9a163a33c6aa5d6dc362fc6d7ce0a2cfb48d40?trk=backfilled_certificate,LinkedIn,May 2021,,
Aprende a programar ¡en cualquier lenguaje!,https://www.linkedin.com/learning/certificates/6a1a6fda522581562768aac4a4874bad5175b3c11af52dc1d4f4baa48a87c37b?trk=backfilled_certificate,LinkedIn,May 2021,,
Usable Security,https://coursera.org/share/477f1e17ccf4e8d6a7d6291e3d9758f8,Coursera,Jul 2021,,477f1e17ccf4e8d6a7d6291e3d9758f8
"LINUX:SISTEMA OPERATIVO,COMANDOS Y UTILIDAD",http://certificados.senavirtual.edu.co/cert_172/2893171130598321.pdf,Servicio Nacional de Aprendizaje (SENA),Mar 2012,,2893171130598321
INGLES BASICO - NIVEL 1,http://certificados.sena.edu.co/guardar.asp?var1=9227002272907CC1130598321C,Servicio Nacional de Aprendizaje (SENA),May 2021,,9227002272907CC1130598321C
INGLES BASICO - NIVEL 2,http://certificados.sena.edu.co/guardar.asp?var1=9227002325682CC1130598321C,Servicio Nacional de Aprendizaje (SENA),Jul 2021,,9227002325682CC1130598321C
Power BI: Desde cero. El curso más poderoso de 2021,https://udemy-certificate.s3.amazonaws.com/pdf/UC-0ee88edb-1c91-4fbe-a88d-aedbfe213dd9.pdf,Udemy,Jul 2021,,UC-0ee88edb-1c91-4fbe-a88d-aedbfe213dd9
Certificado Profesional de la Fundación Scrum (SFPC),https://certificates.easy-lms.com/exam/session/ae7fbb20-e834-46ab-ae3b-d8f7c4172838,CertiProf,Oct 2021,,70786221
Agile Coach Professional Certificate ACPC - Spanish,https://pdf.classmarker.com/pdf/certificate/?certificate_id=48028&sid=61825966&nrg_id=659482&test_id=1100296&aid=4238890&utype=SD&cert_token=bc72af05f9713028fea54e280ddfc9f6&tprtoken=FY7E,CertiProf,Nov 2021,Nov 2023,TLLHDGGSGZ-SPMYTRTX-RHKLSSRLLK
Agile Coach Professional Certificate,https://www.credly.com/badges/6cbebd33-df35-426e-aac4-48dbc615ad01?source=linked_in_profile,CertiProf,Nov 2021,Nov 2023,6cbebd33-df35-426e-aac4-48dbc615ad01
Learn Microsoft Excel from A-Z: Beginner To Expert Course,https://udemy-certificate.s3.amazonaws.com/pdf/UC-8507c8e9-c2ad-4f05-911a-365f31fffb10.pdf,Udemy,Mar 2022,,UC-8507c8e9-c2ad-4f05-911a-365f31fffb10
Agile Coach Professional Certificate (ACPC) - (Spanish),https://cmkr.co/pdf/downloads/?certificate_id=48028&sid=61825966&nrg_id=659482&test_id=1100296&aid=4238890&utype=SD&cert_token=bc72af05f9713028fea54e280ddfc9f6&tprtoken=AEQ6,CertiProf,Nov 2021,,
Comienza a conocer sobre Bases de Datos y SQL! INTENSIVO,https://www.udemy.com/certificate/UC-ba6f7d2c-69a7-420c-a090-36cd22a2817c/,Udemy,Mar 2022,,UC-ba6f7d2c-69a7-420c-a090-36cd22a2817c
Desarrollo de Apps Móviles,https://learndigital.withgoogle.com/link/1nur091p2ww,Google Actívate,Apr 2022,,GP2 LY2 UGY
UBUNTU Linux Server,https://www.udemy.com/certificate/UC-6542996a-025a-40cc-86f3-d2205ee56f68/,Udemy,Aug 2021,,UC-6542996a-025a-40cc-86f3-d2205ee56f68
 Power BI DAX: Aprende las funciones más avanzadas,https://www.udemy.com/certificate/UC-a69ea511-4b82-4074-a074-e87bb9a90ef7/,Udemy,May 2022,,UC-a69ea511-4b82-4074-a074-e87bb9a90ef7
Gerencia de Proyectos para todos con Metodología PMI 2022,https://www.udemy.com/certificate/UC-ba4a7195-a265-49ba-a364-83b0e30bc6e2/,Udemy,May 2022,,UC-ba4a7195-a265-49ba-a364-83b0e30bc6e2
Power BI: Inicia en el mundo del análisis de datos,https://www.udemy.com/certificate/UC-4e8be1c9-7d43-4401-90d6-4ccdd0771054/,Udemy,May 2022,,UC-4e8be1c9-7d43-4401-90d6-4ccdd0771054
Aprende en 2022 RÁPIDAMENTE   Power BI en Español,https://www.udemy.com/certificate/UC-c8ccb15c-64da-4504-a42f-d4e70b8ffe05/,Udemy,May 2022,,UC-c8ccb15c-64da-4504-a42f-d4e70b8ffe05
Modela Datos en MS EXCEL con POWER PIVOT!,https://www.udemy.com/certificate/UC-fcd5ab2b-b0d3-4fe8-ba6b-d047bb872dff/,Udemy,May 2022,,UC-fcd5ab2b-b0d3-4fe8-ba6b-d047bb872dff
Microsoft Power BI: Visualización y Análisis Exploratorio,https://www.udemy.com/certificate/UC-9e4f8370-a5c2-4d3a-8460-5ae984d67253/,Udemy,May 2022,,UC-9e4f8370-a5c2-4d3a-8460-5ae984d67253
Learn Power BI Fast,,Udemy,May 2022,,
Digitaliza paso a paso tu negocio con herramientas de Google,https://learndigital.withgoogle.com/link/1nur091p2ww,Google Actívate,May 2022,,L7U ZHA DKW
Cloud Computing,https://learndigital.withgoogle.com/link/1nur091p2ww,Google Actívate,May 2022,,G2U UZ6 GKB
Curso Excel y Power BI – Análisis y Visualización de Datos,https://ude.my/UC-29ff2d1b-3377-4571-8e41-3262740eade2/,Udemy,May 2022,,UC-29ff2d1b-3377-4571-8e41-3262740eade2
Ethical Hacking: Introduction to Exploits,https://www.udemy.com/certificate/UC-80b3c3f9-c58f-435b-ac59-daac3d398925/,Udemy,Apr 2023,,UC-80b3c3f9-c58f-435b-ac59-daac3d398925/
SEMINARIO INTELIGENCIA ARTIFICIAL Y BIG DATA  APLICADA A LOS NEGOCIOS,,Uniremington,Jan 2023,,
Micro Focus UFT One 2021 - Basic to Advance level 2023,https://udemy-certificate.s3.amazonaws.com/pdf/UC-45993baf-e4d0-4f29-9e82-c1e7c18544cb.pdf,Udemy,Sep 2023,,UC-45993baf-e4d0-4f29-9e82-c1e7c18544cb
Complete guide to building an app with .Net Core and React,https://udemy-certificate.s3.amazonaws.com/pdf/UC-5bf74b4b-d2d6-4fb3-996d-92aa138b46d6.pdf,Udemy,Sep 2023,,UC-5bf74b4b-d2d6-4fb3-996d-92aa138b46d6
Introduction to Microservices [2024],https://udemy-certificate.s3.amazonaws.com/pdf/UC-f5b34626-0598-4bd7-9e9b-277a3bb307de.pdf,Udemy,Feb 2024,,UC-f5b34626-0598-4bd7-9e9b-277a3bb307de
Setting a Foundation for Successful Test Automation,https://testautomationu.applitools.com/certificate/?id=17345a09,Applitools,Feb 2024,,17345a09
Python Programming,https://testautomationu.applitools.com/certificate/?id=1eb75496,Applitools,Feb 2024,,1eb75496
Introduction to pytest,https://testautomationu.applitools.com/certificate/?id=d1a4409c,Applitools,Feb 2024,,d1a4409c
Web Element Locator Strategies,https://testautomationu.applitools.com/certificate/?id=7677bffe,Applitools,,,7677bffe
Selenium WebDriver with Python,https://testautomationu.applitools.com/certificate/?id=e78559c8,Applitools,Feb 2024,,e78559c8
Automated Visual Testing with Python,https://testautomationu.applitools.com/certificate/?id=d46b1caa,Applitools,Feb 2024,,d46b1caa
API Testing in Python,https://testautomationu.applitools.com/certificate/?id=f549d15c,Applitools,Feb 2024,,f549d15c
Behavior Driven Python with Python-bdd,https://testautomationu.applitools.com/certificate/?id=bfcfa5d0,Applitools,Feb 2024,,bfcfa5d0
Introduction to Robot Framework,https://testautomationu.applitools.com/certificate/?id=1358b864,Applitools,Feb 2024,,1358b864
Intro to Testing Machine Learning Models,https://testautomationu.applitools.com/certificate/?id=7fd1b3d2,Applitools,Feb 2024,,7fd1b3d2
Introducción a la Investigación en el Mundo de los Negocios,https://www.centro-virtual.com/campus/mod/customcert/view.php?id=36166&downloadown=1,Asturias Corporación Universitaria,Oct 2023,,36166
Experto en Gestión de Proyectos según PMI,https://www.credly.com/badges/512a9861-fd39-42b1-a295-f7ac42fe13df/linked_in_profile,Asturias Corporación Universitaria,Sep 2024,,
Diplomado Internacional de Gerencia de Proyectos bajo lineamientos PMI,https://www.credly.com/badges/cc655127-b376-4c6e-b0fb-290c18d9bbdb,Asturias Corporación Universitaria,Sep 2024,,
Master Web Api ASP NET Core 9,https://www.udemy.com/certificate/UC-af2e5b16-04fd-48f2-8db7-d86c75beaad7/,Udemy,Jan 2025,,UC-af2e5b16-04fd-48f2-8db7-d86c75beaad7
C# (Basic),https://www.hackerrank.com/certificates/e63e7e1b9801,HackerRank,Jan 2025,,e63e7e1b9801
SQL (Basic),https://www.hackerrank.com/certificates/1d3e21690f3c,HackerRank,Jan 2025,,1d3e21690f3c
SQL (Intermediate),https://www.hackerrank.com/certificates/36b6670ab003,HackerRank,Jan 2025,,36b6670ab003
SQL (Advanced),https://www.hackerrank.com/certificates/af28df390c8e,HackerRank,Jan 2025,,af28df390c8e
Scrum esencial,https://www.linkedin.com/learning/certificates/64ced7abb2ca94911189b77c6165b88ac332ae56030eb9440f56c60c73e0d343?trk=share_certificate,LinkedIn Learning,Feb 2025,,64ced7abb2ca94911189b77c6165b88ac332ae56030eb9440f56c60c73e0d343
SAP ABAP Iniciación a la Programación,https://academy.logaligroup.com/mod/simplecertificate/verify.php?code=68232157-2d54-465e-bfe1-3d516c3dcfbb,Logali Group,May 2025,,68232157-2d54-465e-bfe1-3d516c3dcfbb
ISTQB® Certified Tester Foundation Level (CTFL) (Version 4.0),https://www.credly.com/badges/601444af-76d6-4a29-83fd-ca8dbea77b4b/linked_in_profile,Brightest,Jun 2025,,
ISTQB® Certified Tester Foundation Level (Version 4.0),https://profile.brightest.org/users/booking/certificate/7776fd87-640f-4855-9ece-5a80068a0186,Brightest,Jun 2025,,7776fd87-640f-4855-9ece-5a80068a0186
AI for Software Testers: Apply AI Tools and Techniques to the Software Testing Life Cycle,https://www.linkedin.com/learning/certificates/9fb7c665481d676a35d249a505022605d85e767787cbce1a30ab12f9b7221621,LinkedIn,Sep 2025,,
Frontend Developer (React),https://www.hackerrank.com/certificates/2f9ca72fc97c,HackerRank,Sep 2025,,2f9ca72fc97c
" QA Metrics & KPIs: Testing, Defect Tracking & Automation",https://www.udemy.com/certificate/UC-666b4194-ef96-4397-8c12-015a152254ad,Udemy,Sep 2025,,UC-666b4194-ef96-4397-8c12-015a152254ad
Azure DevOps - Verified by Talently,https://talently.tech/certification/b4cc7879-d6f8-421f-a6dd-f786d131fc4e,Talently,Aug 2025,,b4cc7879-d6f8-421f-a6dd-f786d131fc4e
SQL - Verified by Talently,https://talently.tech/certification/9672cb12-2abe-4b4b-8079-08b10b2caf5d,Talently,Aug 2025,,9672cb12-2abe-4b4b-8079-08b10b2caf5d
Playwright: Design Patterns,https://www.linkedin.com/learning/certificates/98f0f546fffe63e71a81bda841971b395a3df17538f4bbb59604f294b71027af,LinkedIn,Oct 2025,,
Kanban Foundation Certification KBFC™ - (Spanish),,CertiProf,Oct 2025,,110028863
.NET: Programación segura,https://www.linkedin.com/learning/certificates/76fc1971d3513c3fc378e16fd24216dd3479c962c86df69514a7f4caffd52969,LinkedIn,Jan 2026,,
.NET 8 esencial,https://www.linkedin.com/learning/certificates/6a067363de8a54bf215a064cdfc71a354d04c0e347a78510f673a7a7492e14d5,LinkedIn,Jan 2026,,
Selenium esencial,https://www.linkedin.com/learning/certificates/9ccaedee08768072b8c5864aa45343786b625cd5a57cba287dee3aada9d00de2,LinkedIn,Jan 2026,,
C# and .NET Essential Training,https://www.linkedin.com/learning/certificates/825d30f4f5322afc334408e70074b728bd9ac2a97bdce0320f7fdf97e4340398,LinkedIn,Jan 2026,,
ASP.NET Core in .NET 6: Dependency Injection,https://www.linkedin.com/learning/certificates/b6d329a610ce14dd04a97b00605aadd3d05ca1c5fbdfba240ddc47167b73e2ee,LinkedIn,Jan 2026,,
ASP.NET Core: Razor Pages,https://www.linkedin.com/learning/certificates/ed01ada3c84484c6013283634d3c19ee4403a48128f2b3a7d5004dc41a43b981,LinkedIn,Jan 2026,,
C#: Programación orientada a objetos,https://www.linkedin.com/learning/certificates/0515d07dbc909995c78cf7fcf4706ba80ef6e5742c980242fbf9c8642606ec5e,LinkedIn,Jan 2026,,
ASP.NET Core: Token-Based Authentication,https://www.linkedin.com/learning/certificates/fc2d02745f610fec1031d884d10f4385f47205937697af4c6ba9c27224fa0b25,LinkedIn,Feb 2026,,
Securing ASP.NET Core Apps: Advanced Techniques for Web Application Security,https://www.linkedin.com/learning/certificates/6876ff123f486e54ecd6fbb640b8ab30887bea697de110a250dc035eab21ecfd,LinkedIn,Feb 2026,,
Discovering .NET 8,https://www.linkedin.com/learning/certificates/cf0a4b5d54eea3eb3c81ceacdbeabf55c3649a08bac8104b8a346c54c74d3cb1,LinkedIn,Feb 2026,,
Building Web APIs with ASP.NET Core 8,https://www.linkedin.com/learning/certificates/9527dde63b8d69da9fc127c9c4e22d50909ed7da7b780a073237db9d02180132,LinkedIn,Feb 2026,,
.NET Development for Beginners,https://www.linkedin.com/learning/certificates/342c8c9a34125beb5b7fb7ade6a3f8bcf05155e006ac191da94b1a06f139765f,LinkedIn,Feb 2026,,
Back-End Web Development with .NET,https://www.linkedin.com/learning/certificates/3dcabdc06c5ae597fb7f1218d7ed5b3922f66b5d01be7d746ba62f06a4fb2f15,LinkedIn,Feb 2026,,
AI Summit Certiprof 2026,https://profiles.badgeclaimed.com/user-29848/badges/urn:uuid:a703d9dc-b590-4c4e-8d1d-7134b9d659c0.html,CertiProf,Feb 2026,,a703d9dc-b590-4c4e-8d1d-7134b9d659c0
"Playwright Essential Training: Abstractions, Fixtures, and Complex Scenarios",https://www.linkedin.com/learning/certificates/2ea60c94ec73c11afe762762f4eb9600ea15a79dbfe81f1f8aa60ac73a7b3f23,LinkedIn,Feb 2026,,
C# and .NET Development with Visual Studio,https://www.linkedin.com/learning/certificates/e93cbb71d60dbce0dfe9878e9d380a502a82a69ebd84f51007d55998f96b9d84,LinkedIn,Mar 2026,,
Building Angular and ASP.NET Core Applications,https://www.linkedin.com/learning/certificates/1015fb16501bfb1fbe4465074e6d48c4e93fb09b8bf1945d7a29037efc6df885,LinkedIn,Mar 2026,,
Tech Career Skills: Effective Technical Communication,https://www.linkedin.com/learning/certificates/8eb8e94c0f1f02de054cb6b487a320831dbd6616a9601e3c5c0b0b7501b39855,LinkedIn,Mar 2026,,
Software Testing Foundations: Integrating AI into the Quality Process,https://www.linkedin.com/learning/certificates/ecd2d44f8cb39ef5396c40c95de43e611869057b3ef427553e714d6c416e9cfe,LinkedIn,Mar 2026,,
Robot Framework Test Automation: Level 1 (Selenium),https://www.linkedin.com/learning/certificates/1740010ff7afa6d9eb9a4b9218b327493b414b7e822611fcc7b3c29e63b3e32c,LinkedIn,Mar 2026,,
"Learning ASP.NET Core: MVC, Razor Pages, Web APIs & Other Foundations",https://www.linkedin.com/learning/certificates/967b22f97dcd631833eb822534e0f60c2e8d71c0dd7de02a9d2525bc77fb584d,LinkedIn,Mar 2026,,
Agile en acción: Planificación con historias de usuarios ágiles,https://www.linkedin.com/learning/certificates/04d5b5269c37b4773ca2a9308f9ff5536bab6028b2fc1bc59e036b8448f24c55,LinkedIn,Apr 2026,,
